tweet_text,class
"O bom do iOS e do ecossistema em geral é que pra essas coisas muitas vezes não é preciso usar apps externos - acessibilidade. Eu acredito que é o dispositivo com mais possibilidades que já testei até hoje, inclusive pra mim na parte comunicacional e sensorial.",1
"povo critica mt a Samsung (já fui uma) mas mano,eu comprei um celular deles e a câmera é perfeita,tudo de bom o celular tmlc!!",1
"tomei uma puta resistência para produtos apple, mas sinceramente hoje n gostaria de trabalhar com algo q não fosse um macbook
além de bom o bixo é leve demais, mt confortável pra usar",1
"não que samsung não seja bom, meu celular tem mais de quatro anos de idade e agora que o processador e a bateria começaram a dar sinais de desgaste, mas é engraçado ver otimizações muito pequenas ou específicas que na prática não melhoram a qualidade de uso",1
"Vou falar um negócio aqui pra vocês que me seguem: SAMSUG S20 FE E UM CELULAR FODA PRA CARALHO! 

O CELULAR BOM VIU PQP!!!!! MELHOR COMPRA SEM DUVIDAS",1
"rapaz, revivi meu celular antigo pra usar de controlador de midia e tal. É um Google Pixel 2 que comprei em dezembro de 2017. E que aparelho bom!",1
"Desculpa aos fãs da Apple mas fiquei 4 meses com um iPhone 13 e odiei. E não foi questão de adaptação não, é ruim mesmo! Acabei de pegar um S23 Ultra e estou AMANDO! 🫶",1
eu sempre defendendo a samsung mentalmente pq quem diz que é ruim é pq n entender de smartphone,1
"ficam aí julgando que xiaomi tem camera ruim
n tem ndv isso, ela é uma empresa de mt cultura que busca deixar suas fotos parecendo aquarela",1
"Nossa como é bom usar a tv com fone de ouvido Bluetooth pqp 

Nunca achei q isso ia ser útil",1
Eu fico viajando nesse joguinho da tv kkkkkkkk mt bom,1
meu deus audio do meu cll é mt ruim msm nmrl fui ouvi o album na tv e esta mil vezes melhor,1
"prefiro comprar um android pra baixar todos os aplicativos que não estão disponíveis no iphone, mas nunca vou deixar de usar iphone. Celular bom p cacete",1
de vdd iphone e bom sim mas n e o melhor celular do mundo (nem existe isso afinal cada pessoa tem seu criterio de o que e um celular bom,1
Viciado em viver o carnaval só com meu carisma e meu celular Android com câmera ruim e áudio estourado. Só isso basta,1
"muito dificil escrever no iphone deitado com o celular na cara, muito ruim",0
Samsung é MT ruim de editar scrrr,0
"Detesto esses atalhos que vêm no controle da tv, mais atrapalham do que ajudam. E, nossa, como é ruim esse novo design do controle da samsung.",0
"sair de um plus pra pegar o iphone 13 normal foi a melhor coisa que eu fiz bom demais segurar o celular com uma mão só

pequenas felicidades",0
"e a tela dele é uma das mais cara do Motorola pra arrumar, enfim RESUMO: EU SOU UMA FODIDA BURRA QUE O CLL TEM QUE ANDAR PENDURADO PRA NAO QUEBRAR... 
Lado bom da história: Já vendi o outro cll que eu achei que tinha pifado 🫰",0
Até hoje nao encontrei um app de organização financeira de iphone tao bom quanto o minhas finanças do android,0
"juntando um dinheiro pra poder pega meu iPhone, pq esse celular aqui tá muito ruim , nunca ms compro Motorola na minha vida mn",0
"Porque a câmera do iPhone é tão ruim no escuro, pqqqq",0
Iphone é ótimo ate você quebrar ele e ter que “consertar” ☹️,0
pq ngm fala do quão ruim eh a bateria do iphone 7,0
"Galerinha que tem Samsung, o celular de vcs está esquentando muito quando carrega?",0
motorola deveria parar de fabricar celular ruim e fechar logo #falei,0
mds motorola muito ruim,0
"Uppscaling  de imagem de TV muda de TV para TV ? A minha TV 4K o 1080p fica péssimo. Todo borrado. os 720p do Switch e PS3 nem se fala, é péssimo demais. Ate os 1440p fic aum pouco borrado. Será que a C2 melhora isso ?",0
"bom, depois de uma semana com o celular novo minha review sobre a motorola é que eles investem tanto no design que esquecem do resto, colocaram tudo num celular de entrada pra ele parecer completo, mas a maioria das coisas são de baixa qualidade, one ui, câmeras..",0
essa nova atualização que a Samsung fez no notebook é horrível mds,0
"Ter iPhone é igual ter carro, moto .. tem que comprar e ter o dinheiro para manter.  Carregador ficou ruim lá vai 300 , película 120 , capinha 50 .. e por aí vai ! Fora o seguro ..",0
Eu não imaginava q a bateria do iphone era tão ruim   Ela derrete,0
Meu Deus como eu odeio Motorola que saudades de um Samsung,0
"A bateria do xiaomi é mt ruim, jss",0
"Câmera de Xiaomi é muito ruim.
Que celular da câmera ruim.
Só serve pra ligar.",0
"A câmera traseira do iPhone 12 em lugares escuros lança uma edição ABSURDA DE RUIM na foto, e eu não sei como tirar isso. Parece câmera de Samsung 😤",0
att o celular e ficou péssimo xiaomi se um dia te defendi eu tava louca,0
Botão do meu iPhone tá ficando ruim 😩😩,0
"pq a câmera do instagram no iphone é tão ruim,sai tudo borrado igual um poket",0
único defeito de iphone é essa bateria horrível e dps dessa atualização ficou pior ainda,0
O bom é que meu iphone parou de funcionar tudo,0
"Dica prática do dia do Tio Joca:  Tenho um samsung S 22. É um bom aparelho e tal, mas tem uma bateria ridícula. Passei a acompanhar um canal no YouTube, chamado Como é, como faz? que ensina altos truques para celulares Samsung, como otimizar a bateria, por exemplo. Imperdível.",0
"Muito bom ter iPhone em dias de sol , vc não enxergar absolutamente nada na tela",0
Pra mais alguém a atualização do Samsung tá horrível?,0
Ter iPhone é bom mas é cada App q eu perco por não ter no iOS q vou te contar em 🤬,0
O ruim de ter iPhone é que a porra do carregador estraga fácil 🤌🏿🤦🏿‍♂️,0
"Coloco meu celular p carregar 3 vezes no dia, só passo raiva c essa bateria de iPhone horrível🤬",0
"iphone é um lixo, vou comprar um samsung",0
"Tu compra um Samsung com uma câmera boa, mas aí passa uns anos o trem vai ficando MUITO ruim, não é possível q seja nóia minha",0
Muito ruim ter iPhone e não poder comprar um fone de 10 conto pq simplesmente o celular NÃO ACEITA 🫠,0
"S22 é telefone excelente e tem poucos defeitos. Mas o principal é a bateria de 3700mAH. N dura um dia, como q a empresa lança um telefone com uma autonomia ridícula",0
"Única coisa ruim do xiaomi é q a bateria é fraca, de resto é bem bom",0
iphone 13 se você fosse um celular bom qual seria,0
pq cabo de iPhone é tão ruim?,0
a apple botou no cy de todos usuarios com o M1. Fez um computador ''barato'' e potente acabando com o poder de venda dos usuários que não possuem M1. Agora ngm mais consegue vender MacBook com preço bom porque o AIR supera qualquer pro antigo,0
Impressionante como meu celular é maravilhoso com luz natural porém horrível com qualquer outra luz,0
"Reclamei tanto da Samsung que fui furtada e tive que ter um Samsung, ta bom universo eu entendi",0
"A atualização da Samsung tá horrível, você já foi melhor, Samsung",0
Eu achava que o teclado da Xiaomi era ruim até ter um Samsung.,0
Essa atualização do Samsung ta horrível,0
E é ruim admitir isso pq eu passei um dia todo fazendo uma mobilização pra arrumar a tv e poder olhar,0
meu celular tá tão bom que carregando ele descarrega,0
"Ainda destaco que a atualização para a TV ficou horrível, menu muito compacto, não ficou nada visual e intuitivo.",0
Galeria da xiaomi é horrível.,0
a parte ruim de ter iphone é que nao da p fazer nada pirateado nessa bomba 💔💔💔💔 se eu tivesse aquele meu samsung podrao de 4 anos atrás eu ja tinha baixado 3 versões diferentes do minecraft🖕🏼🖕🏼,0
A única coisa ruim do iPhone é o carregador pqp já comprei mais de 500 carregador 😂🤦‍♂️,0
"Por que ninguém me avisou q a memória do Iphone é horrível?? 🥲 no meu Motorola eu tinha trilhões de fotos,vários app e não dava memórias cheia",0
"Se vc está pensando em comprar QUALQUER EQUIPAMENTO SAMSUNG, aqui vai uma dica: REPENSE.

Celular, aqui, já foram 2 p/ o lixo. 
Agora, foi a vez do notebook.

Atendimento péssimo: um empurra p/ o outro e, qnd vc telefona, fica horas ouvindo musiquinha e... NADA.
Lamentável.",0
intankavel o quão ruim é a câmera do iPhone 13 comparado com a do iPhone 8,0
Nunca mais compro um Samsung pra celular ruim demais vei,0
motorola travando mais que samsung oh marca horrível mds,0
"Otimo dia, meu cabo do iphone quebrouuuu",0
iPhone é muito bom mais não é nada de mais ..,0
Não desmerecendo celular nenhum ok?? Mas forçou câmera ruim do Samsung,0
nossa senhora que interface horrível dependendo de onde vc entra no apple id ele te dá acesso a coisas diferentes na conta,0
como o touch do iphone é horrível,0
Essa atualização da Samsung tá ruim para caralho (m32). Notificações e ícones grandes e horríveis,0
nossos ancestrais podem ter lutado com mamutes mas nunca vão entender como é ruim digitar algo na tv com o controle,0
@DucaTambasco Comprei uma TCL tiver que trocar a smartv pelo Google muito lenta não abria os app,0
apago todos os meus stories pq quando vou ver a qualidade tá horrível APPLE ME DÁ UM CELULAR NOVO 😭,0
eu quero um celular bom pra fotografar minhas fanarts  meu samsung tijolão deixa tudo uma bosta 😭😭😭😭 elas merecem fotos dignas,0
"conforme orientação da marca. Me informaram que entre 15 a 20 dias estaria pronta. Além do péssimo atendimento da assistência, já se passaram 22 dias que minha tv está no conserto. 🤡 +",0
